#1
double t_data(1345,15)  # storm weather influent data"t"	"S.O2"	"S.I"	"S.S"	"S.NH"	"S.N2"	"S.NO"	"S.ALK"	"X.I"	"X.S"	"X.H"	"X.STO"	"X.A"	"X.SS"	"Q"
1.666666667	0	30	60.21274	27.12379	0	0	7	58.938	238.269	33.023	0	0	247.6725	20463
1.677083333	0	30	62.42662	27.42295	0	0	7	56.688	234.423	32.346	0	0	242.59275	20034
1.6875	0	30	65.86786	28.33436	0	0	7	53.634	230.37	31.556	0	0	236.67	19328
1.697916667	0	30	65.61928	28.2787	0	0	7	51.406	225.698	30.789	0	0	230.91975	18928
1.708333333	0	30	64.00353	27.7082	0	0	7	49.195	221.064	30.029	0	0	225.216	18510
1.71875	0	30	59.54469	26.68548	0	0	7	47.658	216.47	29.348	0	0	220.107	18319
1.729166667	0	30	58.34064	26.57068	0	0	7	46.49	212.295	28.754	0	0	215.65425	18224
1.739583333	0	30	57.33857	26.62286	0	0	7	48.046	208.894	28.549	0	0	214.11675	19106
1.75	0	30	58.6902	27.4647	0	0	7	57.039	208.01	29.45	0	0	220.87425	22491
1.760416667	0	30	60.46908	28.33436	0	0	7	55.701	212.338	29.782	0	0	223.36575	21604
1.770833333	0	30	63.25004	29.26664	0	0	7	58.01	214.321	30.259	0	0	226.9425	22228
1.78125	0	30	62.37225	30.63027	0	0	7	55.668	216.961	30.292	0	0	227.19075	21169
1.791666667	0	30	62.21689	30.58853	0	0	7	52.024	217.266	29.921	0	0	224.40825	19849
1.802083333	0	30	62.01492	28.16043	0	0	7	45.017	214.888	28.878	0	0	216.58725	17451
1.8125	0	30	66.41162	29.79539	0	0	7	46.165	209.498	28.407	0	0	213.0525	18335
1.822916667	0	30	67.18843	29.82322	0	0	7	55.569	207.466	29.226	0	0	219.19575	22018
1.833333333	0	30	68.47015	30.30328	0	0	7	60.529	211.49	30.224	0	0	226.68225	23369
1.84375	0	30	71.88808	32.13305	0	0	7	61.743	216.767	30.946	0	0	232.092	23270
1.854166667	0	30	75.64392	33.77149	0	0	7	68.389	220.745	32.126	0	0	240.945	25050
1.864583333	0	30	77.44222	34.30373	0	0	7	59.486	227.498	31.887	0	0	239.15325	21540
1.875	0	30	80.08335	35.63953	0	0	7	52.76	226.713	31.053	0	0	232.8945	19321
1.885416667	0	30	82.60408	36.06393	0	0	7	57.213	222.75	31.107	0	0	233.3025	21190
1.895833333	0	30	83.83531	35.93174	0	0	7	73.914	222.492	32.934	0	0	247.005	26591
1.90625	0	30	84.21983	35.45168	0	0	7	69.168	232.016	33.465	0	0	250.98675	24225
1.916666667	0	30	83.377	35.69519	0	0	7	69.099	235.353	33.828	0	0	253.71	23902
1.927083333	0	30	81.99584	35.62561	0	0	7	71.195	237.545	34.304	0	0	257.283	24339
1.9375	0	30	80.14161	35.37863	0	0	7	62.901	240.696	33.733	0	0	252.9975	21529
1.947916667	0	30	77.75294	34.9438	0	0	7	80.108	237.037	35.238	0	0	264.28725	26978
1.958333333	0	30	75.6245	34.14371	0	0	7	78.102	244.79	35.877	0	0	269.07675	25693
1.96875	0	30	71.87255	32.70355	0	0	7	76.103	248.744	36.094	0	0	270.70575	24779
1.979166667	0	30	69.45669	31.46515	0	0	7	74.18	250.464	36.072	0	0	270.537	24086
1.989583333	0	30	67.49915	30.68245	0	0	7	71.575	250.815	35.821	0	0	268.65825	23308
2	0	30	63.63455	30.24762	0	0	7	63.658	250.048	34.856	0	0	261.4215	21017
2.010416667	0	30	61.67313	30.21283	0	0	7	62.386	245.092	34.164	0	0	256.2315	21014
