#1
double t_data(1345,16)	#t	S.O2	S.I	S.S	S.NH	S.N2	S.NO	S.ALK	X.I	X.S	X.H	X.A	X.STO	X.SS	d1$S.P	Q
1.396	0	30	71.46	34.25	0	0	7	34.1	121.9	17.33	0	0	130	9.35207583333333	22900
1.406	0	30	80.01	37.94	0	0	7	40.21	138.4	19.84	0	0	148.8	10.4500091666667	23690
1.417	0	30	94.9	43.4	0	0	7	47.04	154	22.33	0	0	167.5	12.2244825	24750
1.427	0	30	105.8	46.61	0	0	7	57.99	169.6	25.28	0	0	189.6	13.491315	27250
1.438	0	30	115.2	49.25	0	0	7	70.3	186.6	28.55	0	0	214.1	14.5991183333333	29500
1.448	0	30	120	50	0	0	7	84.78	204.2	32.11	0	0	240.8	15.1735341666667	31870
1.458	0	30	119	49.25	0	0	7	93.64	223.3	35.21	0	0	264.1	15.1213433333333	32130
1.469	0	30	112.1	45.74	0	0	7	99.8	240	37.76	0	0	283.2	14.3372866666667	31910
1.479	0	30	102.5	40.86	0	0	7	105.5	253.6	39.9	0	0	299.3	13.1928175	31930
1.49	0	30	94.81	39.03	0	0	7	109.4	265.1	41.61	0	0	312.1	12.4575183333333	31720
1.5	0	30	88.38	36.85	0	0	7	109.8	274.9	42.75	0	0	320.6	11.7749758333333	30930
1.51	0	30	81.29	34.25	0	0	7	96.36	284.4	42.3	0	0	317.3	10.9532058333333	27040
1.521	0	30	75.77	32.16	0	0	7	91.2	283.9	41.68	0	0	312.6	10.3000816666667	25840
1.531	0	30	70.37	30.78	0	0	7	87.72	281.5	41.03	0	0	307.7	9.71468083333333	25170
1.542	0	30	68.28	29.8	0	0	7	85.22	278.5	40.41	0	0	303.1	9.438695	24780
1.552	0	30	67.03	29.24	0	0	7	82.97	275.5	39.83	0	0	298.7	9.27032333333333	24440
1.563	0	30	66.77	28.52	0	0	7	75.86	273	38.76	0	0	290.7	9.15485666666667	22760
1.573	0	30	67.08	27.96	0	0	7	82.17	266.6	38.75	0	0	290.6	9.13386166666667	24940
1.583	0	30	68.09	28.13	0	0	7	78.99	266.4	38.37	0	0	287.8	9.22001333333333	24110
1.594	0	30	68.72	27.55	0	0	7	75.53	264.5	37.78	0	0	283.4	9.2065225	23320
1.604	0	30	68.31	27.46	0	0	7	70.88	261.6	36.94	0	0	277.1	9.13904083333333	22250
1.615	0	30	65.17	26.46	0	0	7	68.39	257.2	36.17	0	0	271.3	8.76863583333333	21880
1.625	0	30	61.65	26.18	0	0	7	67.19	252.8	35.56	0	0	266.7	8.43248	21860
1.635	0	30	59.76	26.29	0	0	7	64.18	249.3	34.83	0	0	261.2	8.26200833333333	21240
1.646	0	30	58.95	26.79	0	0	7	63.87	245.1	34.33	0	0	257.5	8.22011583333333	21470
1.656	0	30	59.39	27.29	0	0	7	61.01	242.1	33.67	0	0	252.6	8.27834083333333	20820
1.667	0	30	60.21	27.12	0	0	7	58.94	238.3	33.02	0	0	247.7	8.3126275	20460
1.677	0	30	62.43	27.42	0	0	7	56.69	234.4	32.35	0	0	242.6	8.5007975	20030
1.688	0	30	65.87	28.33	0	0	7	53.63	230.4	31.56	0	0	236.7	8.83876833333333	19330
1.698	0	30	65.62	28.28	0	0	7	51.41	225.7	30.79	0	0	230.9	8.789415	18930
1.708	0	30	64	27.71	0	0	7	49.2	221.1	30.03	0	0	225.2	8.58339416666667	18510
1.719	0	30	59.54	26.69	0	0	7	47.66	216.5	29.35	0	0	220.1	8.10526416666667	18320
1.729	0	30	58.34	26.57	0	0	7	46.49	212.3	28.75	0	0	215.7	7.97677666666667	18220
1.74	0	30	57.34	26.62	0	0	7	48.05	208.9	28.55	0	0	214.1	7.8912025	19110
1.75	0	30	58.69	27.46	0	0	7	57.04	208	29.45	0	0	220.9	8.10215833333333	22490
1.76	0	30	60.47	28.33	0	0	7	55.7	212.3	29.78	0	0	223.4	8.33328666666667	21600
1.771	0	30	63.25	29.27	0	0	7	58.01	214.3	30.26	0	0	226.9	8.65772333333333	22230
1.781	0	30	62.37	30.63	0	0	7	55.67	217	30.29	0	0	227.2	8.69921	21170
1.792	0	30	62.22	30.59	0	0	7	52.02	217.3	29.92	0	0	224.4	8.67120166666667	19850
1.802	0	30	62.01	28.16	0	0	7	45.02	214.9	28.88	0	0	216.6	8.4193625	17450
1.813	0	30	66.41	29.8	0	0	7	46.17	209.5	28.41	0	0	213.1	8.9071675	18340
1.823	0	30	67.19	29.82	0	0	7	55.57	207.5	29.23	0	0	219.2	8.9998875	22020
1.833	0	30	68.47	30.3	0	0	7	60.53	211.5	30.22	0	0	226.7	9.17803583333333	23370
1.844	0	30	71.89	32.13	0	0	7	61.74	216.8	30.95	0	0	232.1	9.6379275	23270
1.854	0	30	75.64	33.77	0	0	7	68.39	220.7	32.13	0	0	240.9	10.1243675	25050
1.865	0	30	77.44	34.3	0	0	7	59.49	227.5	31.89	0	0	239.2	10.3111625	21540
1.875	0	30	80.08	35.64	0	0	7	52.76	226.7	31.05	0	0	232.9	10.6164066666667	19320
1.885	0	30	82.6	36.06	0	0	7	57.21	222.8	31.11	0	0	233.3	10.8635008333333	21190
1.896	0	30	83.84	35.93	0	0	7	73.91	222.5	32.93	0	0	247	11.0123375	26590
1.906	0	30	84.22	35.45	0	0	7	69.17	232	33.47	0	0	251	11.0210425	24230
1.917	0	30	83.38	35.7	0	0	7	69.1	235.4	33.83	0	0	253.7	10.9824325	23900
1.927	0	30	82	35.63	0	0	7	71.2	237.5	34.3	0	0	257.3	10.8764541666667	24340
1.938	0	30	80.14	35.38	0	0	7	62.9	240.7	33.73	0	0	253	10.68352	21530
1.948	0	30	77.75	34.94	0	0	7	80.11	237	35.24	0	0	264.3	10.4953116666667	26980
1.958	0	30	75.62	34.14	0	0	7	78.1	244.8	35.88	0	0	269.1	10.2713508333333	25690
1.969	0	30	71.87	32.7	0	0	7	76.1	248.7	36.09	0	0	270.7	9.845425	24780
1.979	0	30	69.46	31.47	0	0	7	74.18	250.5	36.07	0	0	270.5	9.54023666666667	24090
1.99	0	30	67.5	30.68	0	0	7	71.58	250.8	35.82	0	0	268.7	9.30405	23310
2	0	30	63.63	30.25	0	0	7	63.66	250	34.86	0	0	261.4	8.91551416666667	21020
2.01	0	30	61.67	30.21	0	0	7	62.39	245.1	34.16	0	0	256.2	8.72749666666667	21010
2.021	0	30	61.72	31.05	0	0	7	52.9	229.8	31.42	0	0	235.6	8.71478666666667	19120
2.031	0	30	62.16	31.67	0	0	7	52.25	230.4	31.41	0	0	235.6	8.80350416666666	18850
2.042	0	30	64.58	33.16	0	0	7	50.48	226.9	30.82	0	0	231.1	9.10995916666667	18510
2.052	0	30	67.85	35.12	0	0	7	48.16	224.2	30.26	0	0	227	9.52853666666667	17890
2.063	0	30	72.14	37.87	0	0	7	46.3	221.1	29.71	0	0	222.8	10.0979508333333	17450
2.073	0	30	72.47	37.87	0	0	7	43.99	217.5	29.05	0	0	217.9	10.1047966666667	16860
2.083	0	30	69.76	36.85	0	0	7	43.27	223.7	29.67	0	0	222.5	9.81395	16120
2.094	0	30	67.5	36.47	0	0	7	41.9	215.4	28.59	0	0	214.5	9.56021333333333	16210
2.104	0	30	62.84	34.39	0	0	7	39.87	208.1	27.55	0	0	206.6	8.96521166666667	15970
2.115	0	30	62.24	34.68	0	0	7	35.79	205.1	26.77	0	0	200.8	8.9152175	14490
2.125	0	30	53.74	32.07	0	0	7	32.73	201.7	26.04	0	0	195.3	7.96666	13420
2.135	0	30	54.45	29.9	0	0	7	29.92	194.5	24.94	0	0	187.1	7.81038416666667	12660
2.146	0	30	50.07	27.07	0	0	7	27.36	185.9	23.7	0	0	177.7	7.17040166666667	12060
2.156	0	30	46.35	24.7	0	0	7	24.89	177.1	22.45	0	0	168.4	6.624685	11450
2.167	0	30	44.36	23.39	0	0	7	24.55	166.5	21.23	0	0	159.2	6.31057583333333	12080
2.177	0	30	42.58	22.2	0	0	7	22.37	157.9	20.03	0	0	150.2	6.02569416666667	11550
2.188	0	30	40	20.32	0	0	7	21.95	151.2	19.24	0	0	144.3	5.62911666666667	11880
2.198	0	30	40.39	20.54	0	0	7	22.65	142.8	18.38	0	0	137.8	5.65332583333333	13100
2.208	0	30	40.78	20.72	0	0	7	20.84	138.9	17.74	0	0	133.1	5.68035333333333	12320
2.219	0	30	40.47	20.75	0	0	7	21.87	136.2	17.56	0	0	131.7	5.6516925	13270
2.229	0	30	40.84	20.66	0	0	7	21.76	132.3	17.12	0	0	128.4	5.66127666666667	13610
2.24	0	30	40.47	20.61	0	0	7	21.63	131.6	17.03	0	0	127.7	5.62334666666667	13600
2.25	0	30	40.51	20.54	0	0	7	20.06	133.1	17.02	0	0	127.7	5.62061916666667	12380
