#1
double t_data(1344,16)	#"t"	"S.I"	"S.S"	"X.I"	"X.S"	"X.H"	"X.A"	"X.P"	"S.O2"	"S.NO"	"S.NH"	"S.ND"	"X.ND"	"S.ALK"	"S.P"	"Qstrm"
4.885416667	30	82.60408	62.5544303797468	287.7	38.9177215189873	0	0	0	0	36.06393	8.26041	14.6305316455696	7	11.1082118037975	18098
4.895833333	30	83.83531	85.8949367088608	284.706329113924	41.1784810126582	0	0	0	0	35.93174	8.38353	15.4804430379747	7	11.2706244198312	24479
4.90625	30	84.21983	81.453164556962	295.603797468354	41.8949367088608	0	0	0	0	35.45168	8.42198	15.7500759493671	7	11.2851321624473	22590
4.916666667	30	83.377	78.9113924050633	299.76329113924	42.0746835443038	0	0	0	0	35.69519	8.3377	15.8176455696203	7	11.2408196308017	21673
4.927083333	30	81.99584	76.8253164556962	301.064556962025	41.9873417721519	0	0	0	0	35.62561	8.19958	15.7848607594937	7	11.1171925632911	21063
4.9375	30	80.14161	59.8278481012658	298.849367088608	39.853164556962	0	0	0	0	35.37863	8.01416	14.9823417721519	7	10.8752151476793	16683
4.947916667	30	77.75294	86.2924050632911	290.867088607595	41.9063291139241	0	0	0	0	34.9438	7.7753	15.7543544303797	7	10.7042578691983	24122
4.958333333	30	75.6245	79.6417721518987	300.148101265823	42.1987341772152	0	0	0	0	34.14371	7.56245	15.8642278481013	7	10.4693698206751	21831
4.96875	30	71.87255	83.2658227848101	302.196202531646	42.8291139240506	0	0	0	0	32.70355	7.18726	16.101164556962	7	10.0564387130802	22589
4.979166667	30	69.45669	77.9683544303797	305.367088607595	42.5924050632911	0	0	0	0	31.46515	6.94567	16.0123291139241	7	9.74451409282701	21074
4.989583333	30	67.49915	69.0417721518987	303.677215189873	41.4126582278481	0	0	0	0	30.68245	6.74992	15.5688607594937	7	9.47920506329114	18895
5	30	63.63455	47.2025316455696	231.506329113924	30.9670886075949	0	0	0	0	30.24762	6.36346	11.6419493670886	7	8.79367661392405	16990
5.010416667	30	61.67313	46.3037974683544	227.098734177215	30.3784810126582	0	0	0	0	30.21283	6.16731	11.4203417721519	7	8.60885848101266	16990
5.020833333	30	61.71973	43.4227848101266	226.608860759494	30.0037974683544	0	0	0	0	31.04771	6.17197	11.2795316455696	7	8.67058097046413	15964
